term,definition,link,introduced_by_card_id
continuous training,"Continuous training (CT) is the practice of automatically retraining a model on a regular basis, so it doesn't quietly go stale as the world (and the data) keeps changing.",,412
cron,"Cron is the classic scheduling syntax (five fields for minute, hour, day, month, and weekday) used to fire a job at a fixed time — the same syntax whether it's retraining a model or backing up a database.",https://en.wikipedia.org/wiki/Cron,278
champion/challenger,"Champion/challenger is a pattern where a newly trained model (the challenger) is compared against the model currently running in production (the champion), and only takes over if it actually performs better.",,290
model artifact,"A model artifact is the packaged output of training: the trained weights plus metadata like the framework and version used to produce them — the thing that actually gets deployed, as opposed to the training code that created it.",,295
inference,"Inference is the act of running a trained model on new input to get a prediction — as opposed to training, which is the process that produced the model in the first place.",,301
inference code,"Inference code is the small amount of code that loads a trained model's weights and runs a prediction on new input — it travels together with the weights in a packaged model artifact, since the weights alone can't do anything.",,301
ONNX,"ONNX (Open Neural Network Exchange) is a shared, open file format for trained models, letting a model trained in one framework — say PyTorch — be exported and then served by tools built for a completely different framework.",https://onnx.ai/,313
batch inference,"Batch inference means running a trained model over a large pile of stored data all at once, on a schedule, with no live user waiting on an immediate answer — like scoring every order from last night in one nightly job.",,319
online inference,"Online inference (also called real-time inference) means answering one prediction request at a time through a live API call, with a response expected back in milliseconds — like a fraud check that runs the moment you hit checkout.",,325
streaming inference,"Streaming inference means running a model continuously against a live, ongoing feed of events as they arrive — a middle ground between batch's fixed schedule and online's one-request-at-a-time pattern.",,331
model server,"A model server is a dedicated piece of software that loads a trained model and exposes it over a network API (REST or gRPC), handling things like versioning and concurrent requests, so you don't have to hand-write a server around your model.",,338
TensorFlow Serving,"TensorFlow Serving is Google's dedicated open-source server for deploying trained TensorFlow models, exposing them over gRPC or REST and handling model version swaps without downtime.",https://www.tensorflow.org/tfx/guide/serving,337
TorchServe,TorchServe is the PyTorch community's equivalent of TensorFlow Serving: a dedicated server built specifically for deploying and serving models trained in PyTorch.,https://pytorch.org/serve/,343
Triton Inference Server,"NVIDIA Triton Inference Server is a model-serving tool that can host models from multiple frameworks at once — TensorFlow, PyTorch, ONNX, and more — side by side on the same GPU-optimized server, instead of locking you into serving just one framework's models.",https://developer.nvidia.com/triton-inference-server,350
canary deployment,"Sending a new model version to only a small slice of live traffic first — say 5% — while the rest keeps using the old, proven version. If the canary looks healthy you gradually ramp it up to 100%; if not, you've only exposed a handful of users to the problem.",,361
shadow deployment,"Running a new model on real, live traffic in parallel with production, but throwing away its output instead of showing it to anyone. You get a true read on how it would perform on real requests with zero risk to actual users, since only the old model's answers ever go out the door.",,369
rollback,"Automatically reverting traffic back to a model's last known-good version when live metrics — like error rate — cross a bad threshold, instead of waiting for a person to notice and act.",,362
output distribution monitoring,"Watching the overall shape of what a model is predicting over time — for example, the split between classes it outputs, or the range of numbers it returns — so a silent shift (like a spam filter suddenly flagging 90% of email) shows up even when latency and error rates still look fine.",,377
confidence score,"The probability a model attaches to its own prediction, showing how sure it is. A rising share of low-confidence predictions is often an earlier warning sign of trouble than accuracy itself, since accuracy needs the real outcome to arrive first.",,383
ground truth,"The actual, correct outcome for a prediction once it's known — like whether a loan was really repaid, or whether an email really was spam. It's what you compare a model's past predictions against to measure real accuracy, and it often arrives well after the prediction itself.",,384
data drift,"A shift in the statistical shape of a model's input data over time — for example, a loan model trained on applicants averaging age 35 suddenly seeing mostly 22-year-olds. The model hasn't changed, but the world feeding it data has.",,283
concept drift,"A shift in the relationship between inputs and the correct output, even when the inputs themselves look the same. Classic example: buying patterns that reliably predicted future purchases before a pandemic stopped meaning the same thing once behavior changed — the same input no longer implies the same correct answer.",,397
data validation test,"A check on the data itself rather than on your code's logic — for example, confirming an 'age' column never holds a negative number, or that a required field is never empty — run before that data ever reaches a model.",,419
invariance test,"A model behavioral test that changes something the model shouldn't care about — like swapping a loan applicant's name — and expects the exact same output. If the prediction changes anyway, that's a sign of hidden, unwanted bias.",,425
directional test,"A model behavioral test that checks a prediction moves in the expected direction when an input changes in a meaningful way — for example, a higher square footage should predictably push a predicted house price up, not down.",,426
model card,"A short, standardized document that ships alongside a model, covering its intended use, its training data, its known limitations, and its measured performance — like a nutrition label, but for a model, so anyone using it knows its limits upfront.",,432
approval workflow,"A required human sign-off step before a model is promoted to production, usually reserved for higher-stakes models — like one deciding loan approvals — the same instinct as a code review, applied to a model release instead of a code change.",,440
model governance,"The overall set of practices — documentation, approval workflows, and fairness checks — that make sure a model is reviewed and understood before it ships, instead of only being investigated after something goes wrong.",,129
fairness check,"A comparison of a model's performance across different subgroups — for example, checking a hiring model approves resumes at similar rates across genders — because a model can look accurate overall while quietly performing worse for one group.",,446
prompt versioning,"Tracking changes to an LLM prompt over time the same way you'd track changes to code or a registered model — so you know exactly which prompt text produced which behavior, and can roll back a bad edit just as easily as rolling back a bad model version.",,454
LLM-as-judge,"Using one LLM to score the quality of another LLM's output, instead of comparing it against one fixed expected answer — useful because the same prompt can produce a differently-worded (but equally correct) answer every time it runs.",,461
token cost monitoring,"Tracking how much each LLM call actually costs, since usage is billed by tokens in and out — a subtle prompt change or a longer conversation history can quietly multiply your bill even while accuracy stays perfectly fine.",,468
